tau1,tau2,tau3,tau4,p2,p3,p4,g1,g2,g3,g4,stabf
2.369368868,2.692666276,3.016003471,6.572452373,-0.951938172,-0.613268999,-0.773312258,0.757518246,0.400462061,0.933656755,0.934261466,0
5.950996975,3.877860828,8.265351774,6.673398592,-1.198192665,-1.040426957,-1.80388324,0.464574051,0.173426125,0.708097489,0.633213014,0
4.366209127,7.959887193,1.930884651,2.719890733,-1.813378734,-1.608371672,-1.29557817,0.448823145,0.834483866,0.796788922,0.779335683,0
8.822775996,8.030337398,8.388753186,2.071342822,-1.323065603,-1.916668922,-1.819412508,0.905805591,0.380945097,0.626416449,0.481123601,0
5.387260266,4.35370011,7.964674832,9.363478031,-1.278582551,-0.746030108,-0.805286014,0.472883639,0.920653327,0.498325476,0.667596077,0
9.074631513,7.209934488,4.729193623,8.068898766,-0.860896418,-0.900914794,-1.585053059,0.456806511,0.599506867,0.348511449,0.876168877,0
9.76196408,8.174112647,8.845467754,0.921495998,-0.818016969,-0.988884426,-1.446005376,0.07295363,0.392618512,0.687790643,0.484440924,0
8.019758185,6.869603802,9.325863297,3.691160055,-0.977564523,-1.229893056,-1.567836191,0.127195537,0.953720441,0.417013639,0.235070308,0
6.982733357,2.961671348,2.256814557,5.326350173,-0.756193909,-1.199484296,-1.642563797,0.411929714,0.566945987,0.905757759,0.875557218,0
6.591402117,0.915891631,7.482444463,9.540191638,-1.747316771,-1.30261046,-0.945025124,0.927365872,0.966691462,0.743369328,0.768036781,0
5.266971265,7.526762791,3.909983201,4.656661962,-1.348420376,-1.555037569,-0.514238164,0.302169107,0.849934801,0.397754476,0.628322292,0
3.896179401,8.23272417,8.205560597,6.681034295,-0.570978705,-1.316045546,-1.669230288,0.396006667,0.765962603,0.420149695,0.672426961,0
3.73423147,3.737711629,9.069079141,6.77969812,-1.623648909,-1.768236871,-1.065515837,0.658472793,0.609750645,0.602587261,0.304208901,0
8.934273191,2.182070936,6.845108723,3.177547235,-1.95032342,-1.960440743,-0.741783662,0.679386165,0.869169242,0.471612864,0.636721278,0
3.240202723,3.461158769,5.062507668,3.670835392,-0.685527525,-0.983515914,-1.244258027,0.112304439,0.877032619,0.327194311,0.624049555,0
1.324764979,7.051038144,2.889611398,4.581008747,-1.97410268,-1.004436687,-0.735973597,0.523602872,0.474079787,0.893702407,0.840487154,0
9.283732572,9.805534483,4.938066658,3.272196183,-0.975880354,-0.944232347,-1.700315939,0.92951234,0.262638601,0.109428595,0.211448035,0
4.6046749,7.997266633,2.036833472,6.819397673,-0.620117097,-1.076206378,-1.965681887,0.719382669,0.682720612,0.957907683,0.071615868,0
2.580873109,6.812908369,9.489611445,3.908075478,-1.159236164,-1.481164065,-0.650623808,0.834218531,0.590992742,0.739569497,0.129950545,0
6.693128122,4.255121892,0.798762428,8.641108611,-1.035152911,-1.418334521,-0.552084231,0.103169917,0.562707181,0.151837379,0.965182366,0
6.153084683,2.789390023,4.01351987,9.355055073,-0.658987382,-0.82217306,-1.041768049,0.531862964,0.823249875,0.996240944,0.578474026,0
2.278305669,3.265831997,3.191711641,3.876549677,-1.161395733,-1.381850916,-0.705578832,0.827058197,0.876228691,0.609239105,0.432750903,0
2.214698578,2.88427798,2.565434251,3.76225374,-1.375031363,-1.038086511,-1.59964416,0.41430947,0.789583519,0.989206085,0.607089591,0
